Gss year for this respondent                       ,Respondent id number,How often r attends religious services,Ballot used for interview,Respondents sex
1978,1163,Once a month,Not applicable,Female
1978,1164,Once a year,Not applicable,Female
1978,1165,Sevrl times a yr,Not applicable,Male
1978,1166,Every week,Not applicable,Female
1978,1167,Once a year,Not applicable,Male
1978,1168,Once a month,Not applicable,Female
1978,1169,2-3x a month,Not applicable,Female
1978,1170,More thn once wk,Not applicable,Female
1978,1171,More thn once wk,Not applicable,Female
1978,1172,Nrly every week,Not applicable,Female
1978,1173,Once a year,Not applicable,Male
1978,1174,Lt once a year,Not applicable,Male
1978,1175,Sevrl times a yr,Not applicable,Female
1978,1176,Sevrl times a yr,Not applicable,Male
1978,1177,Never,Not applicable,Female
1978,1178,2-3x a month,Not applicable,Male
1978,1179,Once a year,Not applicable,Male
1978,1180,Lt once a year,Not applicable,Male
1978,1181,Nrly every week,Not applicable,Female
1978,1182,Every week,Not applicable,Male
1978,1183,"Dk,na",Not applicable,Male
1978,1184,Every week,Not applicable,Female
1978,1185,Sevrl times a yr,Not applicable,Female
1978,1186,Nrly every week,Not applicable,Female
1978,1187,Once a year,Not applicable,Male
1978,1188,More thn once wk,Not applicable,Male
1978,1189,Never,Not applicable,Female
1978,1190,Lt once a year,Not applicable,Female
1978,1191,Every week,Not applicable,Male
1978,1192,More thn once wk,Not applicable,Female
1978,1193,Never,Not applicable,Female
1978,1194,Lt once a year,Not applicable,Male
1978,1195,Every week,Not applicable,Male
1978,1196,Never,Not applicable,Female
1978,1197,Never,Not applicable,Female
1978,1198,More thn once wk,Not applicable,Female
1978,1199,Once a month,Not applicable,Female
1978,1200,Never,Not applicable,Male
1978,1201,Never,Not applicable,Female
1978,1202,Lt once a year,Not applicable,Female
1978,1203,Every week,Not applicable,Female
1978,1204,Never,Not applicable,Male
1978,1205,Never,Not applicable,Male
1978,1206,Once a month,Not applicable,Female
1978,1207,Once a year,Not applicable,Female
1978,1208,Sevrl times a yr,Not applicable,Female
1978,1209,Never,Not applicable,Female
1978,1210,Once a year,Not applicable,Female
1978,1211,Sevrl times a yr,Not applicable,Male
1978,1212,Lt once a year,Not applicable,Male
1978,1213,Never,Not applicable,Male
1978,1214,Sevrl times a yr,Not applicable,Male
1978,1215,"Dk,na",Not applicable,Male
1978,1216,Never,Not applicable,Male
1978,1217,Nrly every week,Not applicable,Female
1978,1218,Never,Not applicable,Female
1978,1219,Lt once a year,Not applicable,Female
1978,1220,Lt once a year,Not applicable,Male
1978,1221,Lt once a year,Not applicable,Female
1978,1222,Never,Not applicable,Female
1978,1223,Every week,Not applicable,Female
1978,1224,More thn once wk,Not applicable,Male
1978,1225,Never,Not applicable,Male
1978,1226,Never,Not applicable,Male
1978,1227,2-3x a month,Not applicable,Female
1978,1228,Sevrl times a yr,Not applicable,Male
1978,1229,Never,Not applicable,Female
1978,1230,Once a year,Not applicable,Female
1978,1231,2-3x a month,Not applicable,Male
1978,1232,Never,Not applicable,Female
1978,1233,Never,Not applicable,Male
1978,1234,Never,Not applicable,Male
1978,1235,Lt once a year,Not applicable,Female
1978,1236,Sevrl times a yr,Not applicable,Female
1978,1237,Sevrl times a yr,Not applicable,Female
1978,1238,Never,Not applicable,Male
1978,1239,Nrly every week,Not applicable,Male
1978,1240,Never,Not applicable,Male
1978,1241,Once a year,Not applicable,Male
1978,1242,Never,Not applicable,Male
1978,1243,Never,Not applicable,Male
1978,1244,Never,Not applicable,Male
1978,1245,Never,Not applicable,Female
1978,1246,Sevrl times a yr,Not applicable,Female
1978,1247,More thn once wk,Not applicable,Male
1978,1248,Once a year,Not applicable,Female
1978,1249,Once a month,Not applicable,Female
1978,1250,Never,Not applicable,Female
1978,1251,More thn once wk,Not applicable,Male
1978,1252,Once a year,Not applicable,Female
1978,1253,More thn once wk,Not applicable,Male
1978,1254,Once a year,Not applicable,Female
1978,1255,Lt once a year,Not applicable,Male
1978,1256,2-3x a month,Not applicable,Female
1978,1257,Never,Not applicable,Male
1978,1258,Once a year,Not applicable,Female
1978,1259,Sevrl times a yr,Not applicable,Male
1978,1260,Once a year,Not applicable,Female
1978,1261,Never,Not applicable,Female
1978,1262,2-3x a month,Not applicable,Female
1978,1263,Lt once a year,Not applicable,Male
1978,1264,Every week,Not applicable,Male
1978,1265,Never,Not applicable,Male
1978,1266,Never,Not applicable,Female
1978,1267,Every week,Not applicable,Female
1978,1268,Every week,Not applicable,Female
1978,1269,Lt once a year,Not applicable,Female
1978,1270,Lt once a year,Not applicable,Female
1978,1271,Never,Not applicable,Female
1978,1272,Nrly every week,Not applicable,Female
1978,1273,Sevrl times a yr,Not applicable,Male
1978,1274,Never,Not applicable,Female
1978,1275,Never,Not applicable,Female
1978,1276,2-3x a month,Not applicable,Female
1978,1277,Lt once a year,Not applicable,Female
1978,1278,Every week,Not applicable,Male
1978,1279,2-3x a month,Not applicable,Male
1978,1280,Once a month,Not applicable,Female
1978,1281,Sevrl times a yr,Not applicable,Male
1978,1282,Never,Not applicable,Female
1978,1283,Sevrl times a yr,Not applicable,Male
1978,1284,2-3x a month,Not applicable,Male
1978,1285,Once a year,Not applicable,Female
1978,1286,Never,Not applicable,Male
1978,1287,Never,Not applicable,Male
1978,1288,Once a year,Not applicable,Male
1978,1289,Every week,Not applicable,Female
1978,1290,Once a year,Not applicable,Male
1978,1291,Once a month,Not applicable,Female
1978,1292,Nrly every week,Not applicable,Female
1978,1293,Sevrl times a yr,Not applicable,Female
1978,1294,Once a month,Not applicable,Female
1978,1295,Once a year,Not applicable,Male
1978,1296,Once a month,Not applicable,Male
1978,1297,Sevrl times a yr,Not applicable,Male
1978,1298,Once a year,Not applicable,Female
1978,1299,Never,Not applicable,Female
1978,1300,Never,Not applicable,Male
1978,1301,Once a month,Not applicable,Female
1978,1302,Sevrl times a yr,Not applicable,Female
1978,1303,Never,Not applicable,Male
1978,1304,Once a year,Not applicable,Male
1978,1305,Never,Not applicable,Female
1978,1306,Every week,Not applicable,Male
1978,1307,Once a year,Not applicable,Male
1978,1308,Never,Not applicable,Male
1978,1309,Never,Not applicable,Female
1978,1310,Once a month,Not applicable,Female
1978,1311,Every week,Not applicable,Male
1978,1312,Once a year,Not applicable,Female
1978,1313,Lt once a year,Not applicable,Female
1978,1314,Every week,Not applicable,Male
1978,1315,Once a year,Not applicable,Male
1978,1316,Nrly every week,Not applicable,Female
1978,1317,Once a year,Not applicable,Female
1978,1318,More thn once wk,Not applicable,Female
1978,1319,Every week,Not applicable,Female
1978,1320,Nrly every week,Not applicable,Female
1978,1321,Nrly every week,Not applicable,Male
1978,1322,Every week,Not applicable,Female
1978,1323,Every week,Not applicable,Male
1978,1324,2-3x a month,Not applicable,Female
1978,1325,Every week,Not applicable,Female
1978,1326,Sevrl times a yr,Not applicable,Female
1978,1327,Once a year,Not applicable,Male
1978,1328,Every week,Not applicable,Female
1978,1329,Every week,Not applicable,Male
1978,1330,Once a year,Not applicable,Female
1978,1331,Every week,Not applicable,Male
1978,1332,2-3x a month,Not applicable,Female
1978,1333,Once a month,Not applicable,Female
1978,1334,Sevrl times a yr,Not applicable,Male
1978,1335,More thn once wk,Not applicable,Female
1978,1336,Every week,Not applicable,Male
1978,1337,Once a year,Not applicable,Male
1978,1338,Never,Not applicable,Male
1978,1339,Nrly every week,Not applicable,Female
1978,1340,Once a month,Not applicable,Male
1978,1341,Sevrl times a yr,Not applicable,Female
1978,1342,Nrly every week,Not applicable,Female
1978,1343,Every week,Not applicable,Male
1978,1344,Nrly every week,Not applicable,Male
1978,1345,Every week,Not applicable,Female
1978,1346,Sevrl times a yr,Not applicable,Male
1978,1347,Never,Not applicable,Male
1978,1348,Sevrl times a yr,Not applicable,Female
1978,1349,Every week,Not applicable,Female
1978,1350,More thn once wk,Not applicable,Male
1978,1351,Once a year,Not applicable,Female
1978,1352,Every week,Not applicable,Male
1978,1353,Sevrl times a yr,Not applicable,Male
1978,1354,Nrly every week,Not applicable,Female
1978,1355,Every week,Not applicable,Male
1978,1356,Once a month,Not applicable,Female
1978,1357,Nrly every week,Not applicable,Female
1978,1358,Once a month,Not applicable,Female
1978,1359,Lt once a year,Not applicable,Male
1978,1360,More thn once wk,Not applicable,Female
1978,1361,Lt once a year,Not applicable,Male
1978,1362,Once a month,Not applicable,Female
1978,1363,Once a year,Not applicable,Female
1978,1364,Sevrl times a yr,Not applicable,Female
1978,1365,2-3x a month,Not applicable,Female
1978,1366,Every week,Not applicable,Female
1978,1367,Every week,Not applicable,Female
1978,1368,Sevrl times a yr,Not applicable,Female
1978,1369,Lt once a year,Not applicable,Male
1978,1370,Sevrl times a yr,Not applicable,Male
1978,1371,More thn once wk,Not applicable,Male
1978,1372,2-3x a month,Not applicable,Male
1978,1373,Lt once a year,Not applicable,Male
1978,1374,More thn once wk,Not applicable,Male
1978,1375,Sevrl times a yr,Not applicable,Female
1978,1376,Lt once a year,Not applicable,Female
1978,1377,Once a year,Not applicable,Male
1978,1378,Nrly every week,Not applicable,Male
1978,1379,Once a year,Not applicable,Female
1978,1380,Sevrl times a yr,Not applicable,Male
1978,1381,2-3x a month,Not applicable,Female
1978,1382,Every week,Not applicable,Female
1978,1383,2-3x a month,Not applicable,Male
1978,1384,Lt once a year,Not applicable,Female
1978,1385,Once a year,Not applicable,Male
1978,1386,Every week,Not applicable,Female
1978,1387,Once a year,Not applicable,Male
1978,1388,2-3x a month,Not applicable,Female
1978,1389,Nrly every week,Not applicable,Female
1978,1390,Lt once a year,Not applicable,Male
1978,1391,Every week,Not applicable,Male
1978,1392,Every week,Not applicable,Female
1978,1393,Once a month,Not applicable,Male
1978,1394,Lt once a year,Not applicable,Female
1978,1395,2-3x a month,Not applicable,Male
1978,1396,Nrly every week,Not applicable,Male
1978,1397,More thn once wk,Not applicable,Female
1978,1398,Once a year,Not applicable,Female
1978,1399,Every week,Not applicable,Male
1978,1400,Every week,Not applicable,Female
1978,1401,Sevrl times a yr,Not applicable,Male
1978,1402,2-3x a month,Not applicable,Female
1978,1403,Never,Not applicable,Male
1978,1404,Once a year,Not applicable,Male
1978,1405,Sevrl times a yr,Not applicable,Female
1978,1406,Every week,Not applicable,Female
1978,1407,Once a month,Not applicable,Female
1978,1408,Sevrl times a yr,Not applicable,Male
1978,1409,More thn once wk,Not applicable,Female
1978,1410,Never,Not applicable,Male
1978,1411,Once a year,Not applicable,Female
1978,1412,Once a month,Not applicable,Male
1978,1413,Every week,Not applicable,Female
1978,1414,More thn once wk,Not applicable,Male
1978,1415,Once a year,Not applicable,Female
1978,1416,Once a year,Not applicable,Male
1978,1417,Lt once a year,Not applicable,Male
1978,1418,Sevrl times a yr,Not applicable,Female
1978,1419,Sevrl times a yr,Not applicable,Female
1978,1420,Once a month,Not applicable,Male
1978,1421,Never,Not applicable,Female
1978,1422,Never,Not applicable,Female
1978,1423,Never,Not applicable,Male
1978,1424,Sevrl times a yr,Not applicable,Female
1978,1425,Once a year,Not applicable,Male
1978,1426,Every week,Not applicable,Female
1978,1427,More thn once wk,Not applicable,Female
1978,1428,Every week,Not applicable,Female
1978,1429,Every week,Not applicable,Female
1978,1430,Never,Not applicable,Female
1978,1431,Lt once a year,Not applicable,Male
1978,1432,Once a month,Not applicable,Female
1978,1433,Sevrl times a yr,Not applicable,Female
1978,1434,2-3x a month,Not applicable,Female
1978,1435,More thn once wk,Not applicable,Male
1978,1436,Nrly every week,Not applicable,Female
1978,1437,Never,Not applicable,Male
1978,1438,More thn once wk,Not applicable,Male
1978,1439,Never,Not applicable,Female
1978,1440,Lt once a year,Not applicable,Male
1978,1441,Sevrl times a yr,Not applicable,Female
1978,1442,Once a year,Not applicable,Male
1978,1443,Never,Not applicable,Female
1978,1444,Lt once a year,Not applicable,Female
1978,1445,Every week,Not applicable,Female
1978,1446,2-3x a month,Not applicable,Male
1978,1447,Every week,Not applicable,Female
1978,1448,Lt once a year,Not applicable,Female
1978,1449,Never,Not applicable,Female
1978,1450,Never,Not applicable,Female
1978,1451,Every week,Not applicable,Female
1978,1452,Never,Not applicable,Female
1978,1453,Once a year,Not applicable,Male
1978,1454,Every week,Not applicable,Female
1978,1455,Once a year,Not applicable,Male
1978,1456,Sevrl times a yr,Not applicable,Female
1978,1457,Never,Not applicable,Male
1978,1458,Every week,Not applicable,Female
1978,1459,Every week,Not applicable,Female
1978,1460,Never,Not applicable,Female
1978,1461,Once a year,Not applicable,Male
1978,1462,Never,Not applicable,Male
1978,1463,Nrly every week,Not applicable,Male
1978,1464,More thn once wk,Not applicable,Male
1978,1465,Once a year,Not applicable,Female
1978,1466,Sevrl times a yr,Not applicable,Female
1978,1467,2-3x a month,Not applicable,Male
1978,1468,Once a year,Not applicable,Male
1978,1469,Lt once a year,Not applicable,Female
1978,1470,2-3x a month,Not applicable,Female
1978,1471,Sevrl times a yr,Not applicable,Male
1978,1472,Once a month,Not applicable,Female
1978,1473,Every week,Not applicable,Female
1978,1474,Once a year,Not applicable,Male
1978,1475,Sevrl times a yr,Not applicable,Female
1978,1476,Every week,Not applicable,Female
1978,1477,Sevrl times a yr,Not applicable,Female
1978,1478,Nrly every week,Not applicable,Female
1978,1479,2-3x a month,Not applicable,Male
1978,1480,Every week,Not applicable,Male
1978,1481,Every week,Not applicable,Female
1978,1482,Every week,Not applicable,Male
1978,1483,Every week,Not applicable,Male
1978,1484,More thn once wk,Not applicable,Female
1978,1485,Never,Not applicable,Male
1978,1486,More thn once wk,Not applicable,Female
1978,1487,Never,Not applicable,Male
1978,1488,Never,Not applicable,Male
1978,1489,Once a year,Not applicable,Male
1978,1490,Once a year,Not applicable,Female
1978,1491,Lt once a year,Not applicable,Female
1978,1492,More thn once wk,Not applicable,Male
1978,1493,2-3x a month,Not applicable,Female
1978,1494,Never,Not applicable,Male
1978,1495,Once a year,Not applicable,Female
1978,1496,Every week,Not applicable,Male
1978,1497,Sevrl times a yr,Not applicable,Male
1978,1498,Every week,Not applicable,Female
1978,1499,Every week,Not applicable,Female
1978,1500,2-3x a month,Not applicable,Female
1978,1501,Every week,Not applicable,Female
1978,1502,Never,Not applicable,Female
1978,1503,Nrly every week,Not applicable,Female
1978,1504,Once a month,Not applicable,Male
1978,1505,Every week,Not applicable,Male
1978,1506,Every week,Not applicable,Male
1978,1507,Never,Not applicable,Male
1978,1508,Never,Not applicable,Female
1978,1509,Every week,Not applicable,Female
1978,1510,Every week,Not applicable,Female
1978,1511,More thn once wk,Not applicable,Female
1978,1512,Nrly every week,Not applicable,Female
1978,1513,More thn once wk,Not applicable,Female
1978,1514,Every week,Not applicable,Female
1978,1515,Sevrl times a yr,Not applicable,Male
1978,1516,Every week,Not applicable,Male
1978,1517,Once a year,Not applicable,Female
1978,1518,Nrly every week,Not applicable,Female
1978,1519,Never,Not applicable,Male
1978,1520,Nrly every week,Not applicable,Male
1978,1521,More thn once wk,Not applicable,Female
1978,1522,Every week,Not applicable,Female
1978,1523,2-3x a month,Not applicable,Male
1978,1524,Lt once a year,Not applicable,Male
1978,1525,Once a month,Not applicable,Female
1978,1526,2-3x a month,Not applicable,Female
1978,1527,Once a month,Not applicable,Female
1978,1528,2-3x a month,Not applicable,Female
1978,1529,2-3x a month,Not applicable,Female
1978,1530,More thn once wk,Not applicable,Female
1978,1531,More thn once wk,Not applicable,Male
1978,1532,Every week,Not applicable,Female
1980,1,Sevrl times a yr,Not applicable,Male
1980,2,More thn once wk,Not applicable,Male
1980,3,Lt once a year,Not applicable,Female
1980,4,Sevrl times a yr,Not applicable,Female
1980,5,Nrly every week,Not applicable,Female
1980,6,Never,Not applicable,Male
1980,7,Once a year,Not applicable,Male
1980,8,Every week,Not applicable,Female
1980,9,Once a year,Not applicable,Male
1980,10,Never,Not applicable,Female
1980,11,Never,Not applicable,Female
1980,12,Sevrl times a yr,Not applicable,Female
1980,13,Sevrl times a yr,Not applicable,Male
1980,14,Never,Not applicable,Female
1980,15,Sevrl times a yr,Not applicable,Male
1980,16,Never,Not applicable,Male
1980,17,Every week,Not applicable,Female
1980,18,2-3x a month,Not applicable,Female
1980,19,Every week,Not applicable,Female
1980,20,2-3x a month,Not applicable,Female
1980,21,Sevrl times a yr,Not applicable,Female
1980,22,Every week,Not applicable,Female
1980,23,Every week,Not applicable,Female
1980,24,Every week,Not applicable,Female
1980,25,Every week,Not applicable,Male
1980,26,Lt once a year,Not applicable,Female
1980,27,Every week,Not applicable,Female
1980,28,Every week,Not applicable,Male
1980,29,Sevrl times a yr,Not applicable,Female
1980,30,Every week,Not applicable,Male
1980,31,Every week,Not applicable,Male
1980,32,Every week,Not applicable,Female
1980,33,2-3x a month,Not applicable,Male
1980,34,Once a year,Not applicable,Female
1980,35,Nrly every week,Not applicable,Male
1980,36,Once a month,Not applicable,Male
1980,37,Once a year,Not applicable,Female
1980,38,More thn once wk,Not applicable,Female
1980,39,Once a year,Not applicable,Male
1980,40,Sevrl times a yr,Not applicable,Male
1980,41,Sevrl times a yr,Not applicable,Female
1980,42,Once a year,Not applicable,Female
1980,43,Nrly every week,Not applicable,Female
1980,44,Every week,Not applicable,Female
1980,45,Lt once a year,Not applicable,Male
1980,46,Never,Not applicable,Female
1980,47,Lt once a year,Not applicable,Male
1980,48,Every week,Not applicable,Female
1980,49,Every week,Not applicable,Female
1980,50,Once a month,Not applicable,Female
1980,51,Once a year,Not applicable,Female
1980,52,Never,Not applicable,Female
1980,53,Nrly every week,Not applicable,Female
1980,54,Never,Not applicable,Female
1980,55,Once a year,Not applicable,Male
1980,56,Sevrl times a yr,Not applicable,Female
1980,57,Once a year,Not applicable,Male
1980,58,Every week,Not applicable,Male
1980,59,Lt once a year,Not applicable,Female
1980,60,Never,Not applicable,Male
1980,61,Once a month,Not applicable,Female
1980,62,Every week,Not applicable,Female
1980,63,Every week,Not applicable,Male
1980,64,2-3x a month,Not applicable,Male
1980,65,Every week,Not applicable,Female
1980,66,Every week,Not applicable,Female
1980,67,More thn once wk,Not applicable,Female
1980,68,Never,Not applicable,Male
1980,69,Once a year,Not applicable,Female
1980,70,Every week,Not applicable,Male
1980,71,Once a year,Not applicable,Male
1980,72,Every week,Not applicable,Female
1980,73,Once a year,Not applicable,Female
1980,74,Sevrl times a yr,Not applicable,Female
1980,75,Every week,Not applicable,Female
1980,76,Sevrl times a yr,Not applicable,Female
1980,77,Sevrl times a yr,Not applicable,Male
1980,78,Every week,Not applicable,Female
1980,79,Sevrl times a yr,Not applicable,Male
1980,80,Every week,Not applicable,Female
1980,81,Sevrl times a yr,Not applicable,Male
1980,82,Every week,Not applicable,Female
1980,83,Once a month,Not applicable,Male
1980,84,2-3x a month,Not applicable,Female
1980,85,Sevrl times a yr,Not applicable,Male
1980,86,Sevrl times a yr,Not applicable,Male
1980,87,Every week,Not applicable,Female
1980,88,Once a year,Not applicable,Female
1980,89,2-3x a month,Not applicable,Female
1980,90,Once a year,Not applicable,Male
1980,91,Every week,Not applicable,Female
1980,92,2-3x a month,Not applicable,Male
1980,93,Nrly every week,Not applicable,Male
1980,94,Every week,Not applicable,Female
1980,95,Once a month,Not applicable,Female
1980,96,2-3x a month,Not applicable,Male
1980,97,Once a year,Not applicable,Male
1980,98,Every week,Not applicable,Male
1980,99,Never,Not applicable,Female
1980,100,Sevrl times a yr,Not applicable,Male
1980,101,Every week,Not applicable,Female
1980,102,Sevrl times a yr,Not applicable,Female
1980,103,Once a year,Not applicable,Male
1980,104,Sevrl times a yr,Not applicable,Male
1980,105,Every week,Not applicable,Female
1980,106,Every week,Not applicable,Female
1980,107,Never,Not applicable,Female
1980,108,2-3x a month,Not applicable,Male
1980,109,Lt once a year,Not applicable,Male
1980,110,Once a year,Not applicable,Male
1980,111,More thn once wk,Not applicable,Female
1980,112,Nrly every week,Not applicable,Male
1980,113,Sevrl times a yr,Not applicable,Male
1980,114,Never,Not applicable,Male
1980,115,2-3x a month,Not applicable,Female
1980,116,Sevrl times a yr,Not applicable,Male
1980,117,Sevrl times a yr,Not applicable,Male
1980,118,Nrly every week,Not applicable,Male
1980,119,Sevrl times a yr,Not applicable,Male
1980,120,Every week,Not applicable,Female
1980,121,Sevrl times a yr,Not applicable,Male
1980,122,Once a month,Not applicable,Male
1980,123,Sevrl times a yr,Not applicable,Female
1980,124,Every week,Not applicable,Female
1980,125,Every week,Not applicable,Female
1980,126,Nrly every week,Not applicable,Female
1980,127,Sevrl times a yr,Not applicable,Male
1980,128,Every week,Not applicable,Female
1980,129,Never,Not applicable,Male
1980,130,Once a month,Not applicable,Female
1980,131,Once a year,Not applicable,Female
1980,132,Sevrl times a yr,Not applicable,Female
1980,133,Never,Not applicable,Female
1980,134,2-3x a month,Not applicable,Female
1980,135,Once a year,Not applicable,Female
1980,136,Once a year,Not applicable,Male
1980,137,Never,Not applicable,Female
1980,138,Nrly every week,Not applicable,Female
1980,139,Once a year,Not applicable,Female
1980,140,Once a year,Not applicable,Female
1980,141,Never,Not applicable,Female
1980,142,Once a year,Not applicable,Male
1980,143,Once a month,Not applicable,Male
1980,144,Every week,Not applicable,Female
1980,145,Never,Not applicable,Male
1980,146,More thn once wk,Not applicable,Female
1980,147,More thn once wk,Not applicable,Male
1980,148,2-3x a month,Not applicable,Female
1980,149,Once a year,Not applicable,Male
1980,150,Every week,Not applicable,Female
1980,151,Lt once a year,Not applicable,Male
1980,152,Every week,Not applicable,Female
1980,153,Every week,Not applicable,Male
1980,154,More thn once wk,Not applicable,Female
1980,155,Sevrl times a yr,Not applicable,Male
1980,156,More thn once wk,Not applicable,Female
1980,157,Every week,Not applicable,Male
1980,158,Every week,Not applicable,Female
1980,159,Once a month,Not applicable,Male
1980,160,Every week,Not applicable,Female
1980,161,Every week,Not applicable,Female
1980,162,Once a year,Not applicable,Male
1980,163,Every week,Not applicable,Male
1980,164,More thn once wk,Not applicable,Female
1980,165,2-3x a month,Not applicable,Female
1980,166,Once a year,Not applicable,Male
1980,167,2-3x a month,Not applicable,Female
1980,168,Once a year,Not applicable,Male
1980,169,Once a year,Not applicable,Female
1980,170,Sevrl times a yr,Not applicable,Female
1980,171,Once a year,Not applicable,Female
1980,172,Never,Not applicable,Male
1980,173,Sevrl times a yr,Not applicable,Female
1980,174,Once a year,Not applicable,Male
1980,175,Once a month,Not applicable,Male
1980,176,Every week,Not applicable,Female
1980,177,Once a month,Not applicable,Female
1980,178,Every week,Not applicable,Female
1980,179,Once a month,Not applicable,Male
1980,180,2-3x a month,Not applicable,Female
1980,181,Never,Not applicable,Male
1980,182,Every week,Not applicable,Female
1980,183,Every week,Not applicable,Female
1980,184,Once a year,Not applicable,Male
1980,185,Never,Not applicable,Female
1980,186,Lt once a year,Not applicable,Male
1980,187,Once a month,Not applicable,Male
1980,188,Every week,Not applicable,Female
1980,189,Every week,Not applicable,Female
1980,190,Every week,Not applicable,Female
1980,191,Once a year,Not applicable,Male
1980,192,More thn once wk,Not applicable,Female
1980,193,Never,Not applicable,Male
1980,194,Once a year,Not applicable,Male
1980,195,Once a year,Not applicable,Male
1980,196,Once a month,Not applicable,Male
1980,197,Once a year,Not applicable,Female
1980,198,Once a year,Not applicable,Male
1980,199,Once a month,Not applicable,Female
1980,200,Once a year,Not applicable,Male
1980,201,Sevrl times a yr,Not applicable,Female
1980,202,Once a year,Not applicable,Male
1980,203,Once a year,Not applicable,Female
1980,204,Once a year,Not applicable,Female
1980,205,Once a year,Not applicable,Male
1980,206,Nrly every week,Not applicable,Male
1980,207,Every week,Not applicable,Female
1980,208,Lt once a year,Not applicable,Male
1980,209,Sevrl times a yr,Not applicable,Male
1980,210,Once a year,Not applicable,Male
1980,211,Lt once a year,Not applicable,Female
1980,212,Sevrl times a yr,Not applicable,Male
1980,213,2-3x a month,Not applicable,Female
1980,214,Every week,Not applicable,Male
1980,215,Once a year,Not applicable,Male
1980,216,More thn once wk,Not applicable,Male
1980,217,Lt once a year,Not applicable,Female
1980,218,Sevrl times a yr,Not applicable,Male
1980,219,2-3x a month,Not applicable,Female
1980,220,Every week,Not applicable,Male
1980,221,Once a month,Not applicable,Male
1980,222,Every week,Not applicable,Male
1980,223,Once a year,Not applicable,Female
1980,224,Every week,Not applicable,Male
1980,225,Never,Not applicable,Female
1980,226,Every week,Not applicable,Female
1980,227,2-3x a month,Not applicable,Male
1980,228,Lt once a year,Not applicable,Female
1980,229,Once a year,Not applicable,Female
1980,230,Nrly every week,Not applicable,Male
1980,231,Every week,Not applicable,Female
1980,232,Every week,Not applicable,Female
1980,233,Every week,Not applicable,Male
1980,234,Once a month,Not applicable,Male
1980,235,Sevrl times a yr,Not applicable,Male
1980,236,Once a year,Not applicable,Male
1980,237,Every week,Not applicable,Female
1980,238,Lt once a year,Not applicable,Male
1980,239,Lt once a year,Not applicable,Male
1980,240,Once a year,Not applicable,Male
1980,241,More thn once wk,Not applicable,Female
1980,242,More thn once wk,Not applicable,Female
1980,243,Every week,Not applicable,Female
1980,244,2-3x a month,Not applicable,Male
1980,245,Every week,Not applicable,Female
1980,246,Never,Not applicable,Female
1980,247,Sevrl times a yr,Not applicable,Female
1980,248,Every week,Not applicable,Male
1980,249,Once a year,Not applicable,Male
1980,250,Never,Not applicable,Male
1980,251,Once a year,Not applicable,Male
1980,252,Never,Not applicable,Male
1980,253,Every week,Not applicable,Female
1980,254,Every week,Not applicable,Male
1980,255,More thn once wk,Not applicable,Male
1980,256,Sevrl times a yr,Not applicable,Male
1980,257,Nrly every week,Not applicable,Female
1980,258,2-3x a month,Not applicable,Female
1980,259,2-3x a month,Not applicable,Female
1980,260,2-3x a month,Not applicable,Female
1980,261,Never,Not applicable,Female
1980,262,More thn once wk,Not applicable,Female
1980,263,2-3x a month,Not applicable,Female
1980,264,Never,Not applicable,Female
1980,265,Sevrl times a yr,Not applicable,Male
1980,266,Sevrl times a yr,Not applicable,Male
1980,267,Nrly every week,Not applicable,Female
1980,268,Lt once a year,Not applicable,Female
1980,269,2-3x a month,Not applicable,Female
1980,270,Once a year,Not applicable,Female
1980,271,Every week,Not applicable,Male
1980,272,Once a year,Not applicable,Male
1980,273,Never,Not applicable,Male
1980,274,Every week,Not applicable,Male
1980,275,2-3x a month,Not applicable,Female
1980,276,Lt once a year,Not applicable,Female
1980,277,Sevrl times a yr,Not applicable,Male
1980,278,Once a month,Not applicable,Female
1980,279,Every week,Not applicable,Female
1980,280,Never,Not applicable,Male
1980,281,Every week,Not applicable,Male
1980,282,Sevrl times a yr,Not applicable,Female
1980,283,Lt once a year,Not applicable,Female
1980,284,Lt once a year,Not applicable,Female
1980,285,Every week,Not applicable,Female
1980,286,Never,Not applicable,Female
1980,287,Sevrl times a yr,Not applicable,Female
1980,288,Lt once a year,Not applicable,Female
1980,289,More thn once wk,Not applicable,Female
1980,290,Every week,Not applicable,Male
1980,291,Every week,Not applicable,Female
1980,292,2-3x a month,Not applicable,Male
1980,293,More thn once wk,Not applicable,Female
1980,294,2-3x a month,Not applicable,Female
1980,295,Nrly every week,Not applicable,Male
1980,296,More thn once wk,Not applicable,Female
1980,297,2-3x a month,Not applicable,Male
1980,298,Sevrl times a yr,Not applicable,Female
1980,299,Once a month,Not applicable,Female
1980,300,Sevrl times a yr,Not applicable,Female
1980,301,Nrly every week,Not applicable,Female
1980,302,Sevrl times a yr,Not applicable,Male
1980,303,Nrly every week,Not applicable,Female
1980,304,Sevrl times a yr,Not applicable,Male
1980,305,Once a month,Not applicable,Female
1980,306,Once a year,Not applicable,Male
1980,307,Nrly every week,Not applicable,Female
1980,308,2-3x a month,Not applicable,Female
1980,309,Lt once a year,Not applicable,Male
1980,310,Nrly every week,Not applicable,Male
1980,311,Nrly every week,Not applicable,Male
1980,312,Every week,Not applicable,Female
1980,313,Sevrl times a yr,Not applicable,Female
1980,314,Nrly every week,Not applicable,Male
1980,315,Nrly every week,Not applicable,Female
1980,316,Never,Not applicable,Male
1980,317,Once a year,Not applicable,Male
